gradrat,lenroll,rmbrd,private,stufac,csat,act
59,5.176149733,3.75,1.0,10.8,.,21
52,4.779123493,3.74,1.0,17.7,.,21
75,6.12249281,.,1.0,11.4,1052,24
56,5.318119994,4.1,1.0,11.6,940,23
71,5.631211782,.,1.0,18.3,.,17
76,5.730099783,.,1.0,16.4,1039,25
74,5.170483995,4.345,1.0,13.1,992,22
56,7.781973234,.,0.0,17.3,.,22
92,7.550661243,.,1.0,6.8,1270,29
54,5.96100534,.,1.0,14.6,.,.
90,4.859812404,5.344,1.0,9.6,1044,.
80,5.693732139,4.14,1.0,16.3,1024,23
.,5.278114659,.,1.0,12.3,.,21
77,5.384495063,.,1.0,12.2,.,19
81,4.94875989,.,1.0,12.9,.,.
44,7.676937146,3.256,0.0,14.9,.,22
43,6.901737207,3.598,0.0,16.5,.,21
75,5.59471138,.,1.0,11.6,.,23
55,5.686975356,4.624,1.0,13.7,.,20
28,5.758901774,4.11,1.0,21.9,.,.
90,6.826545224,6.38,1.0,5.3,.,.
81,8.649098262,4.574,0.0,17.4,1139,27
34,7.904703914,5.088,0.0,10,.,21
55,7.35436233,3.193,0.0,17.2,.,22
85,6.306275287,4.2,1.0,12.7,.,.
59,6.047372179,3.52,1.0,12.1,885,21
51,8.255568653,.,0.0,17.7,895,21
.,5.587248658,3,1.0,14.6,943,22
83,6.551080335,4.65,1.0,10.9,1028,25
82,6.204557763,5.02,1.0,11.1,.,.
78,5.613128106,4.056,1.0,10.6,1120,25
77,6.542471961,4.34,1.0,15.8,1036,.
60,5.638354669,4.04,1.0,12.5,1013,22
72,5.398162702,3.73,1.0,9.9,1006,.
64,5.117993812,3.818,1.0,15.3,.,21
64,5.758901774,3.485,1.0,10.6,1040,24
47,4.828313737,.,1.0,11.8,902,21
69,5.96100534,.,1.0,11.1,919,21
.,5.117993812,.,1.0,15.4,937,22
38,7.163946684,3.192,0.0,22,813,18
68,8.678120856,.,0.0,21.3,996,24
24,6.423246964,.,0.0,13.8,.,.
41,7.446585099,.,0.0,16,.,.
25,7.74109909,.,0.0,10.4,816,19
23,6.583409222,.,0.0,14.7,802,.
